1.97,1.97,artifice-dev,1,1581529991,8G,,985,99,249545,20,125335,13,1871,99,304494,20,13116,230,16,,,,,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,9694us,136ms,955ms,12113us,10319us,67224us,252us,324us,477us,758us,38us,618us
1.97,1.97,artifice-dev,1,1581529176,8G,,918,92,469966,33,161213,17,1954,99,301593,21,13199,216,16,,,,,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,237ms,112ms,941ms,5968us,9960us,320ms,583us,411us,444us,972us,154us,504us
1.97,1.97,artifice-dev,1,1581529471,8G,,970,99,217432,16,111771,14,1975,99,302095,22,13485,248,16,,,,,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,10890us,1088ms,613ms,7102us,8122us,69107us,374us,376us,1132us,259us,36us,42us
1.97,1.97,artifice-dev,1,1581529096,8G,,981,99,353469,25,142767,15,1956,99,303938,20,14004,256,16,,,,,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,12587us,383ms,929ms,11320us,8833us,67849us,328us,248us,324us,240us,34us,447us
1.97,1.97,artifice-dev,1,1581529290,8G,,987,99,285841,21,128338,14,1887,99,301468,22,+++++,+++,16,,,,,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,13324us,865ms,828ms,6118us,5013us,64333us,203us,368us,1502us,795us,90us,1420us
1.97,1.97,artifice-dev,1,1581528970,8G,,955,99,355667,24,130074,14,1964,99,305519,19,13868,259,16,,,,,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,12908us,880ms,892ms,8345us,8859us,66622us,447us,380us,395us,244us,54us,420us
1.97,1.97,artifice-dev,1,1581528895,8G,,976,99,353458,25,139298,15,1938,98,300802,20,6388,116,16,,,,,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,11302us,203ms,929ms,14137us,39087us,227ms,338us,327us,782us,731us,87us,615us
1.97,1.97,artifice-dev,1,1581528794,8G,,976,99,313518,21,130831,14,1959,99,307985,20,14033,254,16,,,,,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,12948us,1924ms,886ms,7562us,8882us,64472us,357us,401us,254us,355us,240us,32us
1.97,1.97,artifice-dev,1,1581525277,8G,,982,99,355110,24,142085,16,1976,99,306698,20,14167,252,16,,,,,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,10987us,347ms,870ms,7038us,8886us,64641us,622us,436us,1075us,414us,31us,1069us
1.97,1.97,artifice-dev,1,1581525299,8G,,979,99,286260,20,130203,14,1944,99,307437,19,14257,255,16,,,,,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,11554us,900ms,808ms,7854us,9216us,65993us,529us,375us,382us,231us,50us,329us
