1.97,1.97,artifice-dev,1,1581389167,8G,,816,97,48694,3,20926,4,1819,99,52755,10,2605,39,16,,,,,17743,11,+++++,+++,10704,5,+++++,+++,+++++,+++,+++++,+++,56550us,12485ms,8434ms,10246us,16294us,615ms,348us,303us,5661us,4405us,28us,887us
1.97,1.97,artifice-dev,1,1581391261,8G,,808,97,34228,2,21468,4,1807,98,52245,10,2194,32,16,,,,,+++++,+++,+++++,+++,+++++,+++,32493,20,+++++,+++,10327,5,14732us,16645ms,8199ms,12671us,11667us,438ms,16000us,251us,1232us,711us,67us,478us
1.97,1.97,artifice-dev,1,1581388000,8G,,819,98,30768,1,21175,5,1763,96,52415,10,2930,46,16,,,,,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,12532us,26007ms,8323ms,48751us,63307us,181ms,601us,259us,281us,1005us,19us,617us
1.97,1.97,artifice-dev,1,1581388702,8G,,796,94,35147,2,21096,4,1810,99,52316,10,2651,39,16,,,,,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,15257us,9592ms,8220ms,6899us,11121us,193ms,298us,267us,890us,633us,53us,851us
1.97,1.97,artifice-dev,1,1581389742,8G,,813,97,35379,1,21204,4,1755,96,47492,9,1982,26,16,,,,,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,15645us,8584ms,8211ms,40966us,993ms,328ms,486us,241us,832us,486us,28us,735us
1.97,1.97,artifice-dev,1,1581386473,8G,,833,98,34108,2,21247,4,1808,98,51039,10,2078,35,16,,,,,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,13842us,6891ms,8171ms,12466us,301ms,522ms,16129us,245us,498us,826us,23us,306us
1.97,1.97,artifice-dev,1,1581387076,8G,,814,97,35371,2,20939,4,1850,99,53209,10,2341,31,16,,,,,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,14084us,8472ms,8091ms,6648us,16494us,558ms,17517us,249us,687us,1052us,607us,821us
1.97,1.97,artifice-dev,1,1581383758,8G,,821,98,34690,2,20240,5,1780,98,50795,10,3071,51,16,,,,,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,12326us,8391ms,8278ms,8642us,20146us,200ms,12070us,354us,609us,405us,50us,674us
1.97,1.97,artifice-dev,1,1581384417,8G,,813,98,31865,2,20900,5,1851,99,52807,10,2653,35,16,,,,,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,17131us,28769ms,8165ms,7350us,9445us,361ms,16983us,251us,1310us,315us,31us,66us
1.97,1.97,artifice-dev,1,1581385216,8G,,825,98,34693,2,21175,4,1815,98,52520,10,2426,41,16,,,,,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,18259us,8268ms,8210ms,7667us,12295us,362ms,9368us,322us,1007us,570us,25us,926us
1.97,1.97,artifice-dev,1,1581398796,8G,,817,97,34861,2,21106,4,1818,99,53327,10,2113,33,16,,,,,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,15990us,8199ms,8152ms,6891us,16240us,349ms,15700us,250us,1066us,422us,48us,618us
1.97,1.97,artifice-dev,1,1581399070,8G,,828,97,31298,1,21328,5,1820,99,53385,10,2759,48,16,,,,,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,11847us,30839ms,8378ms,8823us,9953us,432ms,9807us,257us,923us,294us,30us,272us
1.97,1.97,artifice-dev,1,1581396325,8G,,829,97,34952,2,21245,4,1814,99,52080,9,2662,37,16,,,,,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,12274us,6892ms,8094ms,7890us,334ms,730ms,14961us,247us,449us,470us,72us,566us
1.97,1.97,artifice-dev,1,1581396520,8G,,814,97,34501,1,21402,4,1813,98,52535,10,3067,47,16,,,,,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,24728,12,13994us,8246ms,8274ms,12363us,20372us,183ms,14971us,300us,645us,296us,18us,279us
1.97,1.97,artifice-dev,1,1581397718,8G,,828,97,34195,1,21418,4,1815,98,53852,9,2475,35,16,,,,,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,14883us,8907ms,8181ms,9538us,14305us,244ms,18352us,256us,932us,660us,5274us,572us
1.97,1.97,artifice-dev,1,1581394000,8G,,250,29,31998,1,21349,4,1722,94,53011,9,3687,53,16,,,,,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,18751us,16017ms,8227ms,85623us,188ms,199ms,630us,244us,944us,4504us,22us,172us
1.97,1.97,artifice-dev,1,1581395888,8G,,818,97,33276,1,21431,4,1817,99,51937,10,2425,33,16,,,,,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,24000,11,15771us,11521ms,8118ms,7539us,16535us,357ms,16182us,286us,912us,563us,26us,1007us
1.97,1.97,artifice-dev,1,1581392613,8G,,819,98,34223,2,21226,4,1717,91,52549,9,2735,38,16,,,,,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,14333us,8870ms,8268ms,144ms,317ms,200ms,14235us,245us,654us,410us,31us,342us
1.97,1.97,artifice-dev,1,1581392225,8G,,823,98,35330,2,19934,4,1736,95,53563,9,2398,36,16,,,,,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,10997us,6849ms,34121ms,68456us,61779us,442ms,9804us,249us,295us,393us,21us,931us
1.97,1.97,artifice-dev,1,1581393284,8G,,823,98,35173,2,21374,4,1817,98,53022,10,3026,46,16,,,,,+++++,+++,+++++,+++,+++++,+++,8929,5,+++++,+++,+++++,+++,14495us,8436ms,8188ms,9466us,19838us,356ms,9542us,291us,869us,435us,72us,639us
1.97,1.97,artifice-dev,1,1581406345,8G,,831,98,35287,2,21016,4,1813,99,53411,10,2894,39,16,,,,,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,12532us,10358ms,8253ms,6855us,259ms,183ms,16067us,252us,283us,207us,18us,652us
1.97,1.97,artifice-dev,1,1581408159,8G,,819,97,34767,1,21177,4,1779,96,51921,9,2791,40,16,,,,,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,14858us,8357ms,8264ms,64465us,414ms,552ms,16168us,281us,611us,411us,60us,622us
1.97,1.97,artifice-dev,1,1581405098,8G,,820,96,31379,1,21113,4,1814,99,52759,10,2808,38,16,,,,,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,25038us,34423ms,8245ms,8986us,30237us,261ms,485us,309us,264us,280us,25us,617us
1.97,1.97,artifice-dev,1,1581404295,8G,,822,98,35531,2,21067,4,1828,98,49738,10,3151,50,16,,,,,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,12648us,7190ms,8184ms,9133us,22998us,316ms,15527us,247us,988us,566us,27us,36us
1.97,1.97,artifice-dev,1,1581405305,8G,,825,98,33837,2,20894,5,1811,98,47894,11,2942,40,16,,,,,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,14714us,8291ms,8294ms,10432us,16828us,206ms,16248us,262us,1089us,787us,48us,1006us
1.97,1.97,artifice-dev,1,1581402608,8G,,820,97,34839,2,20665,5,1810,98,51151,10,2481,37,16,,,,,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,12955us,8102ms,8133ms,6476us,13440us,272ms,14300us,247us,407us,5155us,61us,498us
1.97,1.97,artifice-dev,1,1581403717,8G,,823,97,30441,1,20827,5,1811,98,53026,10,2461,37,16,,,,,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,13751us,14021ms,8206ms,11085us,11559us,362ms,17338us,261us,751us,569us,73us,718us
1.97,1.97,artifice-dev,1,1581400872,8G,,827,98,34743,2,21005,5,1804,98,49951,10,3005,40,16,,,,,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,17231us,9378ms,8351ms,10528us,17235us,230ms,16932us,299us,375us,342us,17us,862us
1.97,1.97,artifice-dev,1,1581400078,8G,,813,97,34714,2,20668,5,1814,99,49084,10,2330,33,16,,,,,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,14995us,8382ms,8290ms,7874us,21240us,409ms,9908us,280us,494us,478us,24us,257us
1.97,1.97,artifice-dev,1,1581400854,8G,,818,97,33993,2,21004,5,1871,99,50491,10,3203,48,16,,,,,+++++,+++,+++++,+++,+++++,+++,+++++,+++,+++++,+++,16637,7,23010us,9950ms,8120ms,6416us,21980us,279ms,13865us,251us,271us,359us,36us,442us
