round,work_amount,round_duration
0,0,125196803056
1,0,112404369835
2,0,131186291352
3,0,136328242593
4,0,120191507161
5,0,131943153496
6,0,130064967139
7,0,132585574670
8,0,130386325345
9,0,127756235903
10,0,125385800992
11,0,120609682310
12,0,136646883515
13,0,124367432023
14,0,143868576641
15,0,122698851811
16,0,135858309021
17,0,127584170722
18,0,123583597333
19,0,130696225734
20,0,136821830542
21,0,134174729113
22,0,126546162217
23,0,133833332914
24,0,125242134087
25,0,135184859529
26,0,128994677750
27,0,130533575202
28,0,152867000479
29,0,131201763664
